# platform=debian kernel=linux host=lg1 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1986,0,0.1,0.338,0.043,0.295,0.016,0.000,0.246,0.000,0.029,0.0,0.0,0.0,0.0,0.0,0.0
2,2048,0,0.1,0.276,0.039,0.237,0.015,0.001,0.175,0.000,0.045,0.0,0.0,0.0,0.0,0.0,0.0
3,2048,0,0.1,0.967,0.040,0.927,0.015,0.000,0.308,0.495,0.107,0.0,0.0,0.0,0.0,0.0,0.0
4,2048,0,0.1,1.494,0.036,1.458,0.015,0.001,0.502,0.756,0.182,0.0,0.0,0.0,0.0,0.0,0.0
5,2048,0,0.1,1.758,0.035,1.723,0.016,0.001,0.652,0.793,0.259,0.0,0.0,0.0,0.0,0.0,0.0
6,2048,0,0.1,2.165,0.033,2.132,0.015,0.000,1.009,0.763,0.342,0.0,0.0,0.0,0.0,0.0,0.0
7,2048,0,0.1,2.567,0.037,2.530,0.016,0.001,1.217,0.864,0.431,0.0,0.0,0.0,0.0,0.0,0.0
8,2048,0,0.1,3.114,0.035,3.079,0.015,0.001,1.756,0.769,0.535,0.0,0.0,0.0,0.0,0.0,0.0
9,2048,0,0.1,3.228,0.035,3.193,0.016,0.001,1.785,0.758,0.630,0.0,0.0,0.0,0.0,0.0,0.0
10,2048,0,0.1,2.726,0.044,2.682,0.016,0.000,1.179,0.764,0.721,0.0,0.0,0.0,0.0,0.0,0.0
11,2048,0,0.1,4.172,0.091,4.081,0.017,0.001,2.251,0.913,0.893,0.0,0.0,0.0,0.0,0.0,0.0
12,2048,0,0.1,10.778,5.909,4.869,0.024,0.002,3.011,0.848,0.972,0.0,0.0,0.0,0.0,0.0,0.0
13,2048,0,0.1,22.842,17.327,5.515,0.022,0.001,3.490,0.764,1.225,0.0,0.0,0.0,0.0,0.0,0.0
14,2048,0,0.1,6.593,1.192,5.401,0.020,0.000,3.535,0.771,1.072,0.0,0.0,0.0,0.0,0.0,0.0
15,4096,0,0.1,31.634,22.269,9.365,0.055,0.001,5.329,2.168,1.804,0.0,0.0,0.0,0.0,0.0,0.0
16,4096,0,0.1,49.739,41.298,8.441,0.052,0.001,4.197,2.115,2.067,0.0,0.0,0.0,0.0,0.0,0.0
17,2048,0,0.1,32.668,28.274,4.394,0.024,0.001,1.020,1.216,2.128,0.0,0.0,0.0,0.0,0.0,0.0
18,8192,0,0.3,104.293,84.227,20.066,0.105,0.001,13.096,4.250,2.606,0.0,0.0,0.0,0.0,0.0,0.0
19,2048,0,0.1,88.007,82.730,5.277,0.023,0.001,1.465,1.065,2.722,0.0,0.0,0.0,0.0,0.0,0.0
20,2048,0,0.1,71.495,66.437,5.058,0.022,0.001,2.322,0.750,1.961,0.0,0.0,0.0,0.0,0.0,0.0
21,6144,0,0.2,89.979,83.180,6.799,0.055,0.001,2.226,2.247,2.266,0.0,0.0,0.0,0.0,0.0,0.0
22,2048,0,0.1,72.915,68.463,4.452,0.017,0.000,1.256,0.780,2.397,0.0,0.0,0.0,0.0,0.0,0.0
23,8192,0,0.3,89.887,74.974,14.913,0.076,0.003,7.331,3.594,3.900,0.0,0.0,0.0,0.0,0.0,0.0
24,2048,0,0.1,75.801,68.379,7.422,0.022,0.001,2.343,1.073,3.982,0.0,0.0,0.0,0.0,0.0,0.0
25,12288,0,0.4,138.365,119.484,18.881,0.120,0.001,11.313,4.275,3.163,0.0,0.0,0.0,0.0,0.0,0.0
26,2048,0,0.1,122.320,116.906,5.414,0.016,0.001,1.448,0.714,3.234,0.0,0.0,0.0,0.0,0.0,0.0
27,8192,0,0.3,102.769,84.053,18.716,0.103,0.001,8.922,4.264,5.416,0.0,0.0,0.0,0.0,0.0,0.0
28,2048,0,0.1,91.407,81.289,10.118,0.024,0.000,3.613,1.065,5.412,0.0,0.0,0.0,0.0,0.0,0.0
29,2048,0,0.1,78.341,69.965,8.376,0.024,0.001,1.662,1.066,5.622,0.0,0.0,0.0,0.0,0.0,0.0
30,12288,0,0.4,157.547,133.891,23.656,0.135,0.002,10.647,6.437,6.430,0.0,0.0,0.0,0.0,0.0,0.0
31,2048,0,0.1,146.049,136.158,9.891,0.023,0.000,2.360,1.068,6.438,0.0,0.0,0.0,0.0,0.0,0.0
32,14336,0,0.5,168.312,136.806,31.506,0.184,0.002,16.401,7.443,7.462,0.0,0.0,0.0,0.0,0.0,0.0
33,2048,0,0.1,156.739,146.873,9.866,0.025,0.000,1.245,1.079,7.514,0.0,0.0,0.0,0.0,0.0,0.0
34,2048,0,0.1,144.327,135.318,9.009,0.023,0.001,0.254,1.066,7.663,0.0,0.0,0.0,0.0,0.0,0.0
35,12288,0,0.4,171.716,142.921,28.795,0.134,0.001,13.779,6.408,8.468,0.0,0.0,0.0,0.0,0.0,0.0
36,4096,0,0.1,166.716,150.392,16.324,0.046,0.000,5.478,2.119,8.679,0.0,0.0,0.0,0.0,0.0,0.0
37,12288,0,0.4,153.654,119.915,33.739,0.133,0.002,17.953,6.134,9.506,0.0,0.0,0.0,0.0,0.0,0.0
38,4096,0,0.1,148.454,132.264,16.190,0.046,0.001,4.353,2.119,9.668,0.0,0.0,0.0,0.0,0.0,0.0
39,20480,0,0.7,257.981,210.221,47.760,0.251,0.002,25.249,11.389,10.859,0.0,0.0,0.0,0.0,0.0,0.0
40,6144,0,0.2,259.978,236.625,23.353,0.071,0.000,8.463,3.205,11.611,0.0,0.0,0.0,0.0,0.0,0.0
41,2048,0,0.1,253.353,238.600,14.753,0.024,0.001,2.128,1.067,11.530,0.0,0.0,0.0,0.0,0.0,0.0
42,20480,0,0.7,251.754,220.879,30.875,0.178,0.002,15.157,7.129,8.401,47.1,96429.4,2047.0,18.9,94735.8,5021.0
43,2048,0,0.1,241.348,230.431,10.917,0.016,0.000,1.612,0.714,8.573,47.1,96429.4,2047.0,18.9,94735.8,5021.0
44,2048,0,0.1,230.743,220.112,10.631,0.016,0.000,1.360,0.713,8.540,47.1,96429.4,2047.0,18.9,94735.8,5021.0
45,12288,0,0.4,167.844,144.221,23.623,0.104,0.001,9.880,4.345,9.286,47.1,96429.4,2047.0,18.9,94735.8,5021.0
46,2048,0,0.1,158.246,146.527,11.719,0.017,0.000,1.518,0.731,9.450,47.1,96429.4,2047.0,18.9,94735.8,5021.0
47,2048,0,0.1,149.388,136.882,12.506,0.017,0.000,2.188,0.746,9.553,47.1,96429.4,2047.0,18.9,94735.8,5021.0
48,2048,0,0.1,139.927,128.050,11.877,0.016,0.000,1.467,0.734,9.658,47.1,96429.4,2047.0,18.9,94735.8,5021.0
49,12288,0,0.4,193.563,157.226,36.337,0.149,0.001,15.125,6.366,14.686,47.1,96429.4,2047.0,18.9,94735.8,5021.0
50,4096,0,0.1,193.957,172.235,21.722,0.047,0.001,4.435,2.138,15.099,47.1,96429.4,2047.0,18.9,94735.8,5021.0
51,2048,0,0.1,189.704,172.707,16.997,0.023,0.000,0.684,1.062,15.226,47.1,96429.4,2047.0,18.9,94735.8,5021.0
52,20480,0,0.7,268.690,216.662,52.028,0.239,0.002,24.655,10.630,16.495,47.1,96429.4,2047.0,18.9,94735.8,5021.0
53,4096,0,0.1,273.146,247.424,25.722,0.046,0.000,6.818,2.119,16.735,47.1,96429.4,2047.0,18.9,94735.8,5021.0
54,2048,0,0.1,271.003,250.149,20.854,0.024,0.000,2.870,1.070,16.886,47.1,96429.4,2047.0,18.9,94735.8,5021.0
55,2048,0,0.1,269.979,251.384,18.595,0.025,0.000,4.775,1.074,12.717,47.1,96429.4,2047.0,18.9,94735.8,5021.0
56,2048,0,0.1,264.945,248.678,16.267,0.017,0.000,3.466,0.748,12.033,47.1,96429.4,2047.0,18.9,94735.8,5021.0
57,2048,0,0.1,259.772,243.644,16.128,0.016,0.001,3.223,0.758,12.129,47.1,96429.4,2047.0,18.9,94735.8,5021.0
58,2048,0,0.1,254.325,238.426,15.899,0.016,0.000,3.002,0.754,12.125,47.1,96429.4,2047.0,18.9,94735.8,5021.0
59,12288,0,0.4,262.888,224.868,38.020,0.149,0.002,13.495,6.412,17.950,47.1,96429.4,2047.0,18.9,94735.8,5021.0
60,4096,0,0.1,264.476,241.572,22.904,0.046,0.001,2.320,2.123,18.410,47.1,96429.4,2047.0,18.9,94735.8,5021.0
61,2048,0,0.1,264.631,243.159,21.472,0.024,0.000,1.847,1.101,18.499,47.1,96429.4,2047.0,18.9,94735.8,5021.0
62,2048,0,0.1,265.362,243.324,22.038,0.024,0.001,2.499,1.076,18.435,47.1,96429.4,2047.0,18.9,94735.8,5021.0
63,2048,0,0.1,266.489,244.098,22.391,0.024,0.000,2.581,1.066,18.718,47.1,96429.4,2047.0,18.9,94735.8,5021.0
64,2048,0,0.1,267.887,245.113,22.774,0.023,0.001,2.781,1.071,18.896,47.1,96429.4,2047.0,18.9,94735.8,5021.0
65,2048,0,0.1,267.322,246.627,20.695,0.023,0.001,0.507,1.069,19.092,47.1,96429.4,2047.0,18.9,94735.8,5021.0
66,2048,0,0.1,268.438,245.970,22.468,0.023,0.000,1.948,1.084,19.409,47.1,96429.4,2047.0,18.9,94735.8,5021.0
67,2048,0,0.1,271.527,247.128,24.399,0.024,0.000,4.024,1.066,19.284,47.1,96429.4,2047.0,18.9,94735.8,5021.0
