frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,2400,0.382,0.213,0.169,0.022,0.006,0.078,0.001,0.037,0.0,0.0,0.0,0.0,0.0,0.0
2,480,2.027,1.884,0.143,0.004,0.000,0.022,0.096,0.020,0.0,0.0,0.0,0.0,0.0,0.0
3,480,0.352,0.097,0.255,0.003,0.000,0.027,0.174,0.051,0.0,0.0,0.0,0.0,0.0,0.0
4,480,0.519,0.145,0.374,0.003,0.000,0.028,0.307,0.035,0.0,0.0,0.0,0.0,0.0,0.0
5,480,0.260,0.167,0.093,0.003,0.000,0.034,0.021,0.034,0.0,0.0,0.0,0.0,0.0,0.0
6,480,0.199,0.094,0.105,0.003,0.000,0.034,0.042,0.025,0.0,0.0,0.0,0.0,0.0,0.0
7,480,0.727,0.485,0.242,0.003,0.001,0.043,0.031,0.163,0.0,0.0,0.0,0.0,0.0,0.0
8,480,0.329,0.215,0.114,0.003,0.001,0.046,0.021,0.042,0.0,0.0,0.0,0.0,0.0,0.0
9,480,1.719,1.575,0.144,0.003,0.000,0.051,0.019,0.070,0.0,0.0,0.0,0.0,0.0,0.0
10,480,0.267,0.097,0.170,0.003,0.001,0.053,0.087,0.025,0.0,0.0,0.0,0.0,0.0,0.0
11,480,0.220,0.106,0.114,0.003,0.001,0.060,0.016,0.033,0.0,0.0,0.0,0.0,0.0,0.0
12,480,0.213,0.093,0.120,0.003,0.000,0.065,0.018,0.033,0.0,0.0,0.0,0.0,0.0,0.0
13,480,0.339,0.150,0.189,0.003,0.001,0.084,0.033,0.067,0.0,0.0,0.0,0.0,0.0,0.0
14,480,0.198,0.062,0.136,0.003,0.000,0.078,0.016,0.037,0.0,0.0,0.0,0.0,0.0,0.0
15,480,0.252,0.089,0.163,0.003,0.001,0.092,0.024,0.042,0.0,0.0,0.0,0.0,0.0,0.0
16,480,0.323,0.097,0.226,0.004,0.001,0.139,0.023,0.057,0.0,0.0,0.0,0.0,0.0,0.0
17,480,0.424,0.154,0.270,0.003,0.000,0.119,0.051,0.095,0.0,0.0,0.0,0.0,0.0,0.0
18,480,0.263,0.086,0.177,0.003,0.000,0.110,0.016,0.045,0.0,0.0,0.0,0.0,0.0,0.0
19,480,0.534,0.201,0.333,0.003,0.001,0.117,0.160,0.051,0.0,0.0,0.0,0.0,0.0,0.0
20,480,0.254,0.038,0.216,0.003,0.001,0.133,0.016,0.061,0.0,0.0,0.0,0.0,0.0,0.0
21,480,0.310,0.094,0.216,0.003,0.001,0.137,0.020,0.055,0.0,0.0,0.0,0.0,0.0,0.0
22,480,0.995,0.747,0.248,0.003,0.000,0.153,0.018,0.070,0.0,0.0,0.0,0.0,0.0,0.0
23,480,0.289,0.036,0.253,0.003,0.001,0.176,0.018,0.055,0.0,0.0,0.0,0.0,0.0,0.0
24,480,0.375,0.090,0.285,0.003,0.001,0.185,0.018,0.077,0.0,0.0,0.0,0.0,0.0,0.0
25,480,0.417,0.102,0.315,0.003,0.001,0.182,0.028,0.100,0.0,0.0,0.0,0.0,0.0,0.0
26,480,1.239,0.991,0.248,0.003,0.001,0.168,0.013,0.062,0.0,0.0,0.0,0.0,0.0,0.0
27,480,0.384,0.117,0.267,0.003,0.001,0.167,0.022,0.074,0.0,0.0,0.0,0.0,0.0,0.0
28,480,0.308,0.069,0.239,0.003,0.000,0.159,0.013,0.063,0.0,0.0,0.0,0.0,0.0,0.0
29,480,0.419,0.119,0.300,0.017,0.000,0.167,0.025,0.089,0.0,0.0,0.0,0.0,0.0,0.0
30,480,0.511,0.196,0.315,0.002,0.001,0.153,0.032,0.125,0.0,0.0,0.0,0.0,0.0,0.0
31,480,0.564,0.248,0.316,0.002,0.001,0.154,0.035,0.123,0.0,0.0,0.0,0.0,0.0,0.0
32,480,0.394,0.095,0.299,0.003,0.001,0.181,0.021,0.092,0.0,0.0,0.0,0.0,0.0,0.0
33,480,0.408,0.130,0.278,0.003,0.001,0.176,0.020,0.077,0.0,0.0,0.0,0.0,0.0,0.0
34,480,0.708,0.241,0.467,0.003,0.000,0.229,0.050,0.183,0.0,0.0,0.0,0.0,0.0,0.0
35,480,0.460,0.082,0.378,0.004,0.001,0.219,0.037,0.116,0.0,0.0,0.0,0.0,0.0,0.0
36,480,1.530,0.054,1.476,0.003,0.000,0.399,0.455,0.618,0.0,0.0,0.0,0.0,0.0,0.0
37,480,0.488,0.121,0.367,0.005,0.000,0.224,0.031,0.107,0.0,0.0,0.0,0.0,0.0,0.0
38,480,0.581,0.155,0.426,0.005,0.000,0.277,0.030,0.113,0.0,0.0,0.0,0.0,0.0,0.0
